position,heightinchestotal,weight,fortyyd,twentyss,vertical,broad,picktotal
RB,74.0000,223,4.6300,4.5000,32.0000,121,181
RB,69.0000,207,4.7000,4.3800,32.5000,115,117
RB,68.0000,206,4.5800,4.2600,31.5000,118,103
RB,73.0000,233,4.6600,0.0000,29.0000,113,55
RB,72.0000,230,4.6600,0.0000,34.5000,114,57
RB,72.0000,209,4.6000,0.0000,35.5000,118,222
RB,69.0000,209,4.4100,4.1200,40.5000,132,96
RB,69.0000,209,4.4900,4.0000,35.5000,126,54
RB,72.0000,214,4.4800,4.3000,37.5000,126,69
RB,72.0000,229,4.5800,4.2200,33.0000,118,138
RB,69.0000,174,4.5000,0.0000,32.0000,124,124
RB,69.0000,225,4.5400,0.0000,33.5000,120,94
RB,69.0000,204,4.5700,4.2000,32.0000,114,130
RB,70.0000,214,4.6600,4.4000,32.0000,118,58
RB,69.0000,196,4.5200,4.2000,35.5000,122,182
RB,68.0000,202,4.5300,4.1200,33.5000,122,37
RB,73.0000,246,4.8800,4.4200,35.0000,119,215
RB,70.0000,214,4.7300,4.0900,39.0000,125,190
RB,70.0000,227,4.3700,4.3800,33.5000,121,96
RB,69.0000,199,4.6100,0.0000,34.0000,122,187
RB,70.0000,205,4.4900,4.3100,31.5000,115,125
RB,71.0000,208,4.5500,4.4000,30.5000,119,164
RB,70.0000,223,4.5300,4.6200,35.0000,115,189
RB,67.0000,203,4.6800,0.0000,29.0000,110,228
RB,71.0000,231,4.5800,0.0000,0.0000,0,61
RB,71.0000,221,0.0000,0.0000,0.0000,0,131
RB,70.0000,220,4.5400,4.0200,43.0000,125,62
RB,74.5000,223,4.3800,4.3600,36.0000,124,181
RB,72.0000,204,4.6300,0.0000,35.0000,123,151
RB,70.0000,201,4.6800,0.0000,32.0000,118,199
RB,69.1250,214,4.7600,4.5000,30.0000,110,140
RB,68.0000,195,4.4800,4.1500,35.0000,118,230
RB,68.0000,204,4.5300,4.3100,35.0000,111,250
RB,70.0000,219,4.6500,4.1900,33.0000,115,170
RB,71.0000,239,4.6700,4.2500,37.0000,119,202
RB,69.0000,200,4.4500,0.0000,37.0000,0,67
RB,68.0000,194,4.4500,4.1200,35.0000,123,61
RB,69.0000,223,4.5500,4.1600,36.0000,120,31
RB,71.0000,212,4.4000,0.0000,33.0000,0,97
RB,70.0000,219,4.6700,4.1900,35.0000,117,173
RB,72.0000,218,4.4900,4.2800,36.0000,123,84
RB,68.0000,180,4.4500,3.9300,36.0000,120,159
RB,69.0000,228,0.0000,0.0000,0.0000,0,3
RB,70.0000,222,4.5000,4.3100,36.0000,122,106
RB,73.0000,228,4.5600,4.0600,41.5000,120,225
RB,69.0000,222,4.5400,4.0700,37.0000,120,119
RB,71.0000,233,4.5300,4.3900,36.5000,120,130
RB,69.0000,215,4.6200,4.6200,31.5000,113,28
RB,72.0000,194,4.5300,0.0000,0.0000,0,125
RB,73.0000,227,4.5600,4.4000,38.0000,122,57
RB,67.0000,193,4.5600,4.1800,34.5000,112,149
RB,73.0000,213,4.3700,4.1800,34.5000,130,71
RB,71.0000,207,4.5100,0.0000,0.0000,0,126
RB,66.0000,196,4.5900,4.2600,33.0000,113,145
RB,69.0000,203,4.4000,4.1800,38.0000,126,183
RB,70.0000,210,4.4900,4.2800,34.0000,115,56
RB,73.0000,233,4.6700,4.4900,33.0000,121,173
RB,73.0000,231,4.5000,4.2500,38.0000,118,51
RB,73.0000,225,4.4900,4.1400,41.0000,124,59
RB,73.0000,218,4.3700,4.3300,36.0000,121,12
RB,73.0000,238,4.6800,4.4700,30.5000,111,200
RB,71.0000,196,4.2700,0.0000,0.0000,0,9
RB,74.0000,218,4.5000,4.2300,36.0000,119,193
RB,71.0000,220,4.3400,4.1200,40.5000,124,58
RB,71.0000,218,4.5500,4.3700,32.0000,109,195
RB,73.0000,208,4.4600,4.2200,39.5000,118,111
RB,73.0000,231,4.5900,4.2000,34.0000,120,250
RB,70.0000,219,4.7500,0.0000,34.0000,114,134
RB,73.0000,220,4.5700,4.2900,35.0000,111,211
RB,70.0000,216,4.3400,4.2900,40.0000,117,185
RB,69.0000,205,4.5500,4.1100,34.0000,115,173
RB,70.0000,200,4.4400,4.0800,36.0000,125,209
RB,71.0000,200,4.3800,4.2200,30.5000,122,73
RB,71.0000,215,4.4800,0.0000,34.0000,119,122
RB,74.0000,217,4.4400,4.2300,33.0000,118,44
RB,69.0000,206,4.6900,0.0000,28.0000,110,202
RB,71.0000,197,4.2400,0.0000,35.0000,0,24
RB,73.0000,211,4.3300,0.0000,33.0000,128,4
RB,71.0000,228,4.5200,0.0000,31.0000,112,179
RB,73.0000,224,4.4700,4.2900,34.0000,125,176
RB,68.0000,199,4.4200,4.2000,31.5000,119,55
RB,70.0000,235,4.4600,0.0000,36.5000,128,13
RB,73.0000,213,4.5900,0.0000,30.0000,116,166
RB,73.0000,222,4.6100,0.0000,34.0000,120,139
RB,71.0000,211,4.7500,4.5300,30.0000,108,246
RB,69.0000,245,4.7700,4.4200,30.0000,103,236
RB,71.0000,203,4.4500,4.1700,38.0000,123,49
RB,70.0000,210,4.5400,4.1400,37.0000,122,63
RB,74.0000,226,4.5200,4.2200,34.5000,122,52
RB,71.0000,215,4.4600,4.5800,35.5000,125,12
RB,74.0000,217,4.4000,4.4000,38.5000,127,7
RB,71.0000,207,4.4000,4.1600,35.5000,123,107
RB,71.0000,214,4.4000,4.4800,38.5000,125,30
RB,69.0000,201,4.5700,4.2400,31.5000,124,74
RB,70.0000,214,4.6400,4.4000,33.0000,116,132
RB,70.0000,218,4.5000,0.0000,35.0000,119,246
RB,70.0000,202,4.6700,4.4300,35.0000,114,144
RB,69.0000,201,4.4700,4.0800,34.5000,124,145
RB,73.0000,210,4.4000,4.2600,36.5000,122,79
RB,68.0000,201,4.4200,4.3700,32.5000,105,117
RB,69.0000,214,4.4900,0.0000,35.5000,0,27
RB,69.0000,214,4.4000,4.1000,35.0000,121,44
RB,72.0000,221,4.5300,0.0000,40.0000,0,109
RB,67.0000,200,4.5000,0.0000,38.0000,121,243
RB,73.0000,222,4.6000,4.1200,36.0000,121,236
RB,76.0000,267,4.5600,4.4900,37.0000,118,110
RB,70.0000,208,4.6300,4.1000,34.0000,114,127
RB,66.0000,187,4.4700,3.9600,33.0000,105,130
RB,71.0000,212,4.3700,0.0000,38.5000,117,41
RB,73.0000,220,4.5500,0.0000,0.0000,0,26
RB,70.0000,225,4.6000,4.3800,33.5000,118,219
RB,73.0000,219,4.3500,0.0000,0.0000,137,96
RB,73.0000,223,4.6500,0.0000,0.0000,0,235
RB,73.0000,228,4.5500,0.0000,0.0000,0,27
RB,71.0000,233,4.6000,0.0000,0.0000,0,132
RB,69.0000,209,4.4600,4.0800,33.0000,112,204
RB,68.0000,237,4.4700,4.2500,35.0000,116,257
RB,73.0000,222,4.5700,4.1600,35.5000,119,34
RB,73.0000,214,4.5500,0.0000,34.0000,119,84
RB,71.0000,219,4.6200,0.0000,34.5000,120,197
RB,73.0000,218,4.4200,3.9300,40.5000,124,185
RB,71.0000,213,4.5800,0.0000,33.0000,114,207
RB,69.0000,200,4.5700,0.0000,37.0000,118,91
RB,73.0000,235,4.5600,0.0000,32.0000,0,80
RB,69.0000,207,4.3800,0.0000,39.5000,0,27
RB,71.0000,210,4.5500,0.0000,35.0000,0,65
RB,70.0000,227,4.5700,4.2200,37.5000,0,100
RB,73.0000,222,4.4100,0.0000,37.5000,0,23
RB,74.0000,229,4.5800,4.4400,32.5000,0,38
RB,70.0000,221,4.4600,4.2100,40.5000,0,5
RB,71.0000,193,4.4100,0.0000,0.0000,0,31
RB,70.0000,215,4.5600,4.2000,38.5000,128,88
RB,68.0000,191,4.4400,3.8200,38.0000,123,153
RB,73.0000,197,4.5000,4.0700,32.0000,125,171
RB,70.0000,214,4.4100,3.9300,41.5000,131,97
RB,73.0000,240,4.5800,0.0000,0.0000,0,5
RB,73.0000,216,4.4800,0.0000,32.5000,121,76
RB,70.0000,197,4.6700,4.1500,31.0000,116,233
RB,68.0000,205,4.5700,4.0900,34.0000,114,46
RB,73.0000,216,4.7100,4.1300,34.0000,116,127
RB,71.0000,223,4.5800,0.0000,35.0000,117,103
RB,73.0000,216,4.3800,3.8800,0.0000,0,4
RB,68.0000,203,4.5300,4.0900,0.0000,0,95
